0	462661.523	3812852.730
1	462685.948	3812834.364
2	462685.883	3812829.293
3	462685.689	3812824.324
4	462685.548	3812819.309
5	462685.348	3812814.335
6	462685.170	3812809.373
7	462685.036	3812804.428
8	462684.805	3812799.394
9	462684.583	3812794.280
10	462684.422	3812789.314
11	462684.212	3812784.286
12	462684.017	3812779.452
13	462664.782	3812805.237
14	462669.767	3812805.119
15	462674.691	3812804.809
16	462679.704	3812804.649
17	462689.631	3812804.275
18	462694.646	3812804.035
19	462699.628	3812803.819
20	462704.783	3812803.570
21	462659.720	3812827.630
22	462663.880	3812826.370
23	462668.036	3812824.965
24	462672.070	3812823.640
25	462676.480	3812822.380
26	462681.280	3812820.690
