0	642470.400	3754491.000
1	642516.792	3754636.259
2	642515.642	3754631.286
3	642514.636	3754626.397
4	642513.336	3754621.611
5	642512.300	3754616.807
6	642511.036	3754611.870
7	642509.985	3754606.996
8	642509.019	3754602.170
9	642507.905	3754596.950
10	642506.960	3754592.309
11	642506.069	3754587.679
12	642486.249	3754615.205
13	642491.078	3754614.531
14	642496.171	3754613.832
15	642501.054	3754613.206
16	642506.015	3754612.484
17	642515.985	3754611.135
18	642520.958	3754610.533
19	642525.835	3754609.859
20	642520.290	3754603.660
21	642880.142	3754497.901
22	642885.334	3754499.432
23	642863.764	3754362.052
24	642866.229	3754361.542
